id|custom_title|stubhub_title|vividseats_title
701827|Houston Astros at Miami Marlins (Sunday April 15, 2012)|Miami Marlins vs Houston Astros [04/15/2012] Tickets at StubHub!|Houston Astros at Miami Marlins
701828|Atlanta Braves at Miami Marlins (Wednesday September 19, 2012)|Miami Marlins vs Atlanta Braves [09/19/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701829|Cincinnati Reds at Miami Marlins (Friday Spetember 14, 2012)|Miami Marlins vs Cincinnati Reds [09/14/2012] Tickets at StubHub!|Cincinnati Reds at Miami Marlins
701830|New York Mets at Miami Marlins (Friday August 31, 2012)|Miami Marlins vs New York Mets [08/31/2012] Tickets at StubHub!|New York Mets at Miami Marlins
701831|San Diego Padres at Miami Marlins (Friday July 27, 2012)|Miami Marlins vs San Diego Padres [07/27/2012] Tickets at StubHub!|San Diego Padres at Miami Marlins
701832|Chicago Cubs at Miami Marlins (Tuesday April 17, 2012)|Miami Marlins vs Chicago Cubs [04/17/2012] Tickets at StubHub!|Chicago Cubs at Miami Marlins
701833|Atlanta Braves at Miami Marlins (Monday September 17, 2012)|Miami Marlins vs Atlanta Braves [09/17/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701834|Colorado Rockies at Miami Marlins (Wednesday May 23, 2012)|Miami Marlins vs Colorado Rockies [05/23/2012] Tickets at StubHub!|Colorado Rockies at Miami Marlins
701835|Washington Nationals at Miami Marlins (Saturday July 14, 2012)|Miami Marlins vs Washington Nationals [07/14/2012] Tickets at StubHub!|Washington Nationals at Miami Marlins
701836|Chicago Cubs at Miami Marlins (Thursday April 19, 2012)|Miami Marlins vs Chicago Cubs [04/19/2012] Tickets at StubHub!|Chicago Cubs at Miami Marlins
701837|New York Mets at Miami Marlins (Sunday September 2, 2012)|Miami Marlins vs New York Mets [09/02/2012] Tickets at StubHub!|New York Mets at Miami Marlins
701838|Colorado Rockies at Miami Marlins (Monday May 21, 2012)|Miami Marlins vs Colorado Rockies [05/21/2012] Tickets at StubHub!|Colorado Rockies at Miami Marlins
701839|Los Angeles Dodgers at Miami Marlins (Sunday August 12, 2012)|Miami Marlins vs Los Angeles Dodgers [08/12/2012] Tickets at StubHub!|Los Angeles Dodgers at Miami Marlins
701840|San Diego Padres at Miami Marlins (Sunday July 29, 2012)|Miami Marlins vs San Diego Padres [07/29/2012] Tickets at StubHub!|San Diego Padres at Miami Marlins
701841|Toronto Blue Jays at Miami Marlins (Saturday June 23, 2012)|Miami Marlins vs Toronto Blue Jays [06/23/2012] Tickets at StubHub!|Toronto Blue Jays at Miami Marlins
701842|Philadelphia Phillies at Miami Marlins (Tuesday August 14, 2012)|Miami Marlins vs Philadelphia Phillies [08/14/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701843|Philadelphia Phillies at Miami Marlins (Friday June 29, 2012)|Miami Marlins vs Philadelphia Phillies [06/29/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701844|Tampa Bay Rays at Miami Marlins (Sunday June 10, 2012)|Miami Marlins vs Tampa Bay Rays [06/10/2012] Tickets at StubHub!|Tampa Bay Rays at Miami Marlins
701845|Atlanta Braves at Miami Marlins (Tuesday June 5, 2012)|Miami Marlins vs Atlanta Braves [06/05/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701846|New York Mets at Miami Marlins (Tuesday October 2, 2012)|Miami Marlins vs New York Mets [10/02/2012] Tickets at StubHub!|New York Mets at Miami Marlins
701847|Tampa Bay Rays at Miami Marlins (Friday June 8, 2012)|Miami Marlins vs Tampa Bay Rays [06/08/2012] Tickets at StubHub!|Tampa Bay Rays at Miami Marlins
701848|Washington Nationals at Miami Marlins (Tuesday August 28, 2012)|Miami Marlins vs Washington Nationals [08/28/2012] Tickets at StubHub!|Washington Nationals at Miami Marlins
701849|Los Angeles Dodgers at Miami Marlins (Friday August 10, 2012)|Miami Marlins vs Los Angeles Dodgers [08/10/2012] Tickets at StubHub!|Los Angeles Dodgers at Miami Marlins
701850|Arizona Diamondback at Miami Marlins (Friday April 27, 2012)|Miami Marlins vs Arizona Diamondback [04/27/2012] Tickets at StubHub!|Arizona Diamondbacks at Miami Marlins
701851|St Louis Cardinals at Miami Marlins (Wednesday April 4, 2012)|Miami Marlins vs St Louis Cardinals [04/04/2012] Tickets at StubHub!|St. Louis Cardinals at Miami Marlins
701852|Washington National at Miami Marlins (Tuesday May 29, 2012)|Miami Marlins vs Washington National [05/29/2012] Tickets at StubHub!|Washington Nationals at Miami Marlins
701853|Toronto Blue Jays at Miami Marlins (Friday June 22, 2012)|Miami Marlins vs Toronto Blue Jays [06/22/2012] Tickets at StubHub!|Toronto Blue Jays at Miami Marlins
701854|Arizona Diamondback at Miami Marlins (Sunday April 29, 2012)|Miami Marlins vs Arizona Diamondback [04/29/2012] Tickets at StubHub!|Arizona Diamondbacks at Miami Marlins
701855|Boston Red Sox at Miami Marlins (Tuesday June 12, 2012)|Miami Marlins vs Boston Red Sox [06/12/2012] Tickets at StubHub!|Boston Red Sox at Miami Marlins
701856|San Francisco Giants at Miami Marlins (Sunday May 27, 2012)|Miami Marlins vs San Francisco Giants [05/27/2012] Tickets at StubHub!|San Francisco Giants at Miami Marlins
701857|Pittsburgh Pirates at Miami Marlins (Monday May 14, 2012)|Miami Marlins vs Pittsburgh Pirates [05/14/2012] Tickets at StubHub!|Pittsburgh Pirates at Miami Marlins
701858|Philadelphia Phillies at Miami Marlins (Sunday September 30, 2012)|Miami Marlins vs Philadelphia Phillies [09/30/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701859|San Francisco Giants at Miami Marlins (Friday May 25, 2012)|Miami Marlins vs San Francisco Giants [05/25/2012] Tickets at StubHub!|San Francisco Giants at Miami Marlins
701860|New York Mets at Miami Marlins (Saturday May 12, 2012)|Miami Marlins vs New York Mets [05/12/2012] Tickets at StubHub!|New York Mets at Miami Marlins
701861|New York Mets at Miami Marlins (Wednesday October 3, 2012)|Miami Marlins vs New York Mets [10/03/2012] Tickets at StubHub!|New York Mets at Miami Marlins
701862|Milwaukee Brewers at Miami Marlins (Thursday September 6, 2012)|Miami Marlins vs Milwaukee Brewers [09/06/2012] Tickets at StubHub!|Milwaukee Brewers at Miami Marlins
701863|Philadelphia Phillies at Miami Marlins (Friday September 28, 2012)|Miami Marlins vs Philadelphia Phillies [09/28/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701864|Atlanta Braves at Miami Marlins (Wednesday June 6, 2012)|Miami Marlins vs Atlanta Braves [06/06/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701865|St Louis Cardinals at Miami Marlins (Wednesday June 27, 2012)|Miami Marlins vs St Louis Cardinals [06/27/2012] Tickets at StubHub!|St. Louis Cardinals at Miami Marlins
701866|Philadelphia Phillies at Miami Marlins (Sunday July 1, 2012)|Miami Marlins vs Philadelphia Phillies [07/01/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701867|Atlanta Braves at Miami Marlins (Tuesday July 24, 2012)|Miami Marlins vs Atlanta Braves [07/24/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701868|Houston Astros at Miami Marlins (Saturday April 14, 2012)|Miami Marlins vs Houston Astros [04/14/2012] Tickets at StubHub!|Houston Astros at Miami Marlins
701869|Cincinnati Reds at Miami Marlins (Sunday September 16, 2012)|Miami Marlins vs Cincinnati Reds [09/16/2012] Tickets at StubHub!|Cincinnati Reds at Miami Marlins
701870|Cincinnati Reds at Miami Marlins (Saturday September 15, 2012)|Miami Marlins vs Cincinnati Reds [09/15/2012] Tickets at StubHub!|Cincinnati Reds at Miami Marlins
701871|Colorado Rockies at Miami Marlins (Tuesday May 22, 2012)|Miami Marlins vs Colorado Rockies [05/22/2012] Tickets at StubHub!|Colorado Rockies at Miami Marlins
701872|St Louis Cardinals at Miami Marlins (Tuesday June 26, 2012)|Miami Marlins vs St Louis Cardinals [06/26/2012] Tickets at StubHub!|St. Louis Cardinals at Miami Marlins
701873|Atlanta Braves at Miami Marlins (Monday July 23, 2012)|Miami Marlins vs Atlanta Braves [07/23/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701874|Atlanta Braves at Miami Marlins (Tuesday September 18, 2012)|Miami Marlins vs Atlanta Braves [09/18/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701875|Washington Nationals at Miami Marlins (Monday July 16, 2012)|Miami Marlins vs Washington Nationals [07/16/2012] Tickets at StubHub!|Washington Nationals at Miami Marlins
701876|Chicago Cubs at Miami Marlins (Wednesday April 18, 2012)|Miami Marlins vs Chicago Cubs [04/18/2012] Tickets at StubHub!|Chicago Cubs at Miami Marlins
701877|Atlanta Braves at Miami Marlins (Wednesday July 25, 2012)|Miami Marlins vs Atlanta Braves [07/25/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701878|Milwaukee Brewers at Miami Marlins (Monday September 3, 2012)|Miami Marlins vs Milwaukee Brewers [09/03/2012] Tickets at StubHub!|Milwaukee Brewers at Miami Marlins
701879|San Diego Padres at Miami Marlins (Saturday July 28, 2012)|Miami Marlins vs San Diego Padres [07/28/2012] Tickets at StubHub!|San Diego Padres at Miami Marlins
701880|Philadelphia Phillies at Miami Marlins (Wednesday August 15, 2012)|Miami Marlins vs Philadelphia Phillies [08/15/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701881|Philadelphia Phillies at Miami Marlins (Saturday June 30, 2012)|Miami Marlins vs Philadelphia Phillies [06/30/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701882|Boston Red Sox at Miami Marlins (Monday June 11, 2012)|Miami Marlins vs Boston Red Sox [06/11/2012] Tickets at StubHub!|Boston Red Sox at Miami Marlins
701883|New York Mets at Miami Marlins (Saturday September 1, 2012)|Miami Marlins vs New York Mets [09/01/2012] Tickets at StubHub!|New York Mets at Miami Marlins
701884|Milwaukee Brewers at Miami Marlins (Tuesday September 4, 2012)|Miami Marlins vs Milwaukee Brewers [09/04/2012] Tickets at StubHub!|Milwaukee Brewers at Miami Marlins
701885|Tampa Bay Rays at Miami Marlins (Saturday June 9, 2012)|Miami Marlins vs Tampa Bay Rays [06/09/2012] Tickets at StubHub!|Tampa Bay Rays at Miami Marlins
701887|Los Angeles Dodgers at Miami Marlins (Saturday August 11, 2012)|Miami Marlins vs Los Angeles Dodgers [08/11/2012] Tickets at StubHub!|Los Angeles Dodgers at Miami Marlins
701889|Milwaukee Brewers at Miami Marlins (Wednesday September 5, 2012)|Miami Marlins vs Milwaukee Brewers [09/05/2012] Tickets at StubHub!|Milwaukee Brewers at Miami Marlins
701890|Washington National at Miami Marlins (Monday May 28, 2012)|Miami Marlins vs Washington National [05/28/2012] Tickets at StubHub!|Washington Nationals at Miami Marlins
701891|Washington Nationals at Miami Marlins (Friday July 13, 2012)|Miami Marlins vs Washington Nationals [07/13/2012] Tickets at StubHub!|Washington Nationals at Miami Marlins
701892|Boston Red Sox at Miami Marlins (Wednesday June 13, 2012)|Miami Marlins vs Boston Red Sox [06/13/2012] Tickets at StubHub!|Boston Red Sox at Miami Marlins
701893|San Francisco Giants at Miami Marlins (Saturday May 26, 2012)|Miami Marlins vs San Francisco Giants [05/26/2012] Tickets at StubHub!|San Francisco Giants at Miami Marlins
701894|Washington Nationals at Miami Marlins (Sunday July 15, 2012)|Miami Marlins vs Washington Nationals [07/15/2012] Tickets at StubHub!|Washington Nationals at Miami Marlins
701895|Arizona Diamondback at Miami Marlins (Saturday April 28, 2012)|Miami Marlins vs Arizona Diamondback [04/28/2012] Tickets at StubHub!|Arizona Diamondbacks at Miami Marlins
701896|Philadelphia Phillies at Miami Marlins (Monday August 13, 2012)|Miami Marlins vs Philadelphia Phillies [08/13/2012] Tickets at StubHub!|Philadelphia Phillies at Miami Marlins
701897|San Francisco Giants at Miami Marlins (Thursday May 24, 2012)|Miami Marlins vs San Francisco Giants [05/24/2012] Tickets at StubHub!|San Francisco Giants at Miami Marlins
701898|Pittsburgh Pirates at Miami Marlins (Tuesday May 15, 2012)|Miami Marlins vs Pittsburgh Pirates [05/15/2012] Tickets at StubHub!|Pittsburgh Pirates at Miami Marlins
701899|Arizona Diamondbacks at Miami Marlins (Monday April 30, 2012)|Miami Marlins vs Arizona Diamondbacks [04/30/2012] Tickets at StubHub!|Arizona Diamondbacks at Miami Marlins
701900|Toronto Blue Jays at Miami Marlins (Sunday June 24, 2012)|Miami Marlins vs Toronto Blue Jays [06/24/2012] Tickets at StubHub!|Toronto Blue Jays at Miami Marlins
701901|Atlanta Braves at Miami Marlins (Thursday June 7, 2012)|Miami Marlins vs Atlanta Braves [06/07/2012] Tickets at StubHub!|Atlanta Braves at Miami Marlins
701902|New York Mets at Miami Marlins (Sunday May 13, 2012)|Miami Marlins vs New York Mets [05/13/2012] Tickets at StubHub!|New York Mets at Miami Marlins
701903|Houston Astros at Miami Marlins (Friday April 13, 2012)|Miami Marlins vs Houston Astros [04/13/2012] Tickets at StubHub!|Houston Astros at Miami Marlins
701911|Cincinnati Reds at Pittsburgh Pirates (Saturday September 29, 2012)|Pittsburgh Pirates vs Cincinnati Reds [09/29/2012] Tickets at StubHub!|Cincinnati Reds at Pittsburgh Pirates
701912|Chicago Cubs at Pittsburgh Pirates (Saturday September 8, 2012)|Pittsburgh Pirates vs Chicago Cubs [09/08/2012] Tickets at StubHub!|Chicago Cubs at Pittsburgh Pirates
701913|Houston Astros at Pittsburgh Pirates (Thursday July 5, 2012)|Pittsburgh Pirates vs Houston Astros [07/05/2012] Tickets at StubHub!|Houston Astros at Pittsburgh Pirates
701914|St Louis Cardinals at Pittsburgh Pirates (Wednesday August 29, 2012)|Pittsburgh Pirates vs St Louis Cardinals [08/29/2012] Tickets at StubHub!|St. Louis Cardinals at Pittsburgh Pirates
701915|Chicago Cubs at Pittsburgh Pirates (Saturday May 26, 2012)|Pittsburgh Pirates vs Chicago Cubs [05/26/2012] Tickets at StubHub!|Chicago Cubs at Pittsburgh Pirates
701916|Milwaukee Brewers at Pittsburgh Pirates (Wednesday September 19, 2012)|Pittsburgh Pirates vs Milwaukee Brewers [09/19/2012] Tickets at StubHub!|Milwaukee Brewers at Pittsburgh Pirates
701917|Washington Nationals at Pittsburgh Pirates (Wednesday May 9, 2012)|Pittsburgh Pirates vs Washington Nationals [05/09/2012] Tickets at StubHub!|Washington Nationals at Pittsburgh Pirates
701918|Houston Astros at Pittsburgh Pirates (Friday May 11, 2012)|Pittsburgh Pirates vs Houston Astros [05/11/2012] Tickets at StubHub!|Houston Astros at Pittsburgh Pirates
701919|New York Mets at Pittsburgh Pirates (Wednesday May 23, 2012)|Pittsburgh Pirates vs New York Mets [05/23/2012] Tickets at StubHub!|New York Mets at Pittsburgh Pirates
701920|Milwaukee Brewers at Pittsburgh Pirates (Saturday August 25, 2012)|Pittsburgh Pirates vs Milwaukee Brewers [08/25/2012] Tickets at StubHub!|Milwaukee Brewers at Pittsburgh Pirates
701921|Atlanta Braves at Pittsburgh Pirates (Monday October 1, 2012)|Pittsburgh Pirates vs Atlanta Braves [10/01/2012] Tickets at StubHub!|Atlanta Braves at Pittsburgh Pirates
701922|New York Mets at Pittsburgh Pirates (Monday May 21, 2012)|Pittsburgh Pirates vs New York Mets [05/21/2012] Tickets at StubHub!|New York Mets at Pittsburgh Pirates
701923|St Louis Cardinals at Pittsburgh Pirates (Monday August 27, 2012)|Pittsburgh Pirates vs St Louis Cardinals [08/27/2012] Tickets at StubHub!|St. Louis Cardinals at Pittsburgh Pirates
701924|San Diego Padres at Pittsburgh Pirates (Sunday August 12, 2012)|Pittsburgh Pirates vs San Diego Padres [08/12/2012] Tickets at StubHub!|San Diego Padres at Pittsburgh Pirates
701925|St Louis Cardinals at Pittsburgh Pirates (Saturday April 21, 2012)|Pittsburgh Pirates vs St Louis Cardinals [04/21/2012] Tickets at StubHub!|St. Louis Cardinals at Pittsburgh Pirates
701926|Arizona Diamondbacks at Pittsburgh Pirates (Monday August 6, 2012)|Pittsburgh Pirates vs Arizona Diamondbacks [08/06/2012] Tickets at StubHub!|Arizona Diamondbacks at Pittsburgh Pirates
701927|San Francisco Giants at Pittsburgh Pirates (Sunday July 8, 2012)|Pittsburgh Pirates vs San Francisco Giants [07/08/2012] Tickets at StubHub!|San Francisco Giants at Pittsburgh Pirates
701928|Los Angeles Dodgers at Pittsburgh Pirates (Tuesday August 14, 2012)|Pittsburgh Pirates vs Los Angeles Dodgers [08/14/2012] Tickets at StubHub!|Los Angeles Dodgers at Pittsburgh Pirates
701929|Colorado Rockies at Pittsburgh Pirates (Monday April 23, 2012)|Pittsburgh Pirates vs Colorado Rockies [04/23/2012] Tickets at StubHub!|Colorado Rockies at Pittsburgh Pirates
701930|Kansas City Royals at Pittsburgh Pirates (Sunday June 10, 2012)|Pittsburgh Pirates vs Kansas City Royals [06/10/2012] Tickets at StubHub!|Kansas City Royals at Pittsburgh Pirates
701931|San Francisco Giants at Pittsburgh Pirates (Friday July 6, 2012)|Pittsburgh Pirates vs San Francisco Giants [07/06/2012] Tickets at StubHub!|San Francisco Giants at Pittsburgh Pirates
701932|Cincinnati Reds at Pittsburgh Pirates (Friday May 4, 2012)|Pittsburgh Pirates vs Cincinnati Reds [05/04/2012] Tickets at StubHub!|Cincinnati Reds at Pittsburgh Pirates
701933|Atlanta Braves at Pittsburgh Pirates (Tuesday October 2, 2012)|Pittsburgh Pirates vs Atlanta Braves [10/02/2012] Tickets at StubHub!|Atlanta Braves at Pittsburgh Pirates
701934|Minnesota Twins at Pittsburgh Pirates (Tuesday June 19, 2012)|Pittsburgh Pirates vs Minnesota Twins [06/19/2012] Tickets at StubHub!|Minnesota Twins at Pittsburgh Pirates
701935|Kansas City Royals at Pittsburgh Pirates (Friday June 8, 2012)|Pittsburgh Pirates vs Kansas City Royals [06/08/2012] Tickets at StubHub!|Kansas City Royals at Pittsburgh Pirates
701936|Houston Astros at Pittsburgh Pirates (Tuesday September 4, 2012)|Pittsburgh Pirates vs Houston Astros [09/04/2012] Tickets at StubHub!|Houston Astros at Pittsburgh Pirates
701937|San Diego Padres at Pittsburgh Pirates (Friday August 10, 2012)|Pittsburgh Pirates vs San Diego Padres [08/10/2012] Tickets at StubHub!|San Diego Padres at Pittsburgh Pirates
701938|Chicago Cubs at Pittsburgh Pirates (Wednesday July 25, 2012)|Pittsburgh Pirates vs Chicago Cubs [07/25/2012] Tickets at StubHub!|Chicago Cubs at Pittsburgh Pirates
701939|Cincinnati Reds at Pittsburgh Pirates (Tuesday May 29, 2012)|Pittsburgh Pirates vs Cincinnati Reds [05/29/2012] Tickets at StubHub!|Cincinnati Reds at Pittsburgh Pirates
701940|Chicago Cubs at Pittsburgh Pirates (Sunday May 27, 2012)|Pittsburgh Pirates vs Chicago Cubs [05/27/2012] Tickets at StubHub!|Chicago Cubs at Pittsburgh Pirates
701941|Detroit Tigers at Pittsburgh Pirates (Saturday June 23, 2012)|Pittsburgh Pirates vs Detroit Tigers [06/23/2012] Tickets at StubHub!|Detroit Tigers at Pittsburgh Pirates
701942|San Francisco Giants at Pittsburgh Pirates (Saturday July 7, 2012)|Pittsburgh Pirates vs San Francisco Giants [07/07/2012] Tickets at StubHub!|San Francisco Giants at Pittsburgh Pirates
701943|Miami Marlins at Pittsburgh Pirates (Saturday July 21, 2012)|Pittsburgh Pirates vs Miami Marlins [07/21/2012] Tickets at StubHub!|Miami Marlins at Pittsburgh Pirates
701944|Minnesota Twins at Pittsburgh Pirates (Thursday June 21, 2012)|Pittsburgh Pirates vs Minnesota Twins [06/21/2012] Tickets at StubHub!|Minnesota Twins at Pittsburgh Pirates
701945|Philadelphia Phillies at Pittsburgh Pirates (Sunday April 8, 2012)|Pittsburgh Pirates vs Philadelphia Phillies [04/08/2012] Tickets at StubHub!|Philadelphia Phillies at Pittsburgh Pirates
701946|Cincinnati Reds at Pittsburgh Pirates (Sunday September 30, 2012)|Pittsburgh Pirates vs Cincinnati Reds [09/30/2012] Tickets at StubHub!|Cincinnati Reds at Pittsburgh Pirates
701947|Chicago Cubs at Pittsburgh Pirates (Monday July 23, 2012)|Pittsburgh Pirates vs Chicago Cubs [07/23/2012] Tickets at StubHub!|Chicago Cubs at Pittsburgh Pirates
701948|Houston Astros at Pittsburgh Pirates (Monday July 2, 2012)|Pittsburgh Pirates vs Houston Astros [07/02/2012] Tickets at StubHub!|Houston Astros at Pittsburgh Pirates
701949|Los Angeles Dodgers at Pittsburgh Pirates (Thursday August 16, 2012)|Pittsburgh Pirates vs Los Angeles Dodgers [08/16/2012] Tickets at StubHub!|Los Angeles Dodgers at Pittsburgh Pirates
701950|Arizona Diamondbacks at Pittsburgh Pirates (Thursday August 9, 2012)|Pittsburgh Pirates vs Arizona Diamondbacks [08/09/2012] Tickets at StubHub!|Arizona Diamondbacks at Pittsburgh Pirates
701951|Colorado Rockies at Pittsburgh Pirates (Wednesday April 25, 2012)|Pittsburgh Pirates vs Colorado Rockies [04/25/2012] Tickets at StubHub!|Colorado Rockies at Pittsburgh Pirates
701952|Cincinnati Reds at Pittsburgh Pirates (Friday September 28, 2012)|Pittsburgh Pirates vs Cincinnati Reds [09/28/2012] Tickets at StubHub!|Cincinnati Reds at Pittsburgh Pirates
701953|Washington Nationals at Pittsburgh Pirates (Thursday May 10, 2012)|Pittsburgh Pirates vs Washington Nationals [05/10/2012] Tickets at StubHub!|Washington Nationals at Pittsburgh Pirates
701954|Arizona Diamondbacks at Pittsburgh Pirates (Tuesday August 7, 2012)|Pittsburgh Pirates vs Arizona Diamondbacks [08/07/2012] Tickets at StubHub!|Arizona Diamondbacks at Pittsburgh Pirates
701955|Milwaukee Brewers at Pittsburgh Pirates (Tuesday September 18, 2012)|Pittsburgh Pirates vs Milwaukee Brewers [09/18/2012] Tickets at StubHub!|Milwaukee Brewers at Pittsburgh Pirates
701956|Chicago Cubs at Pittsburgh Pirates (Sunday September 9, 2012)|Pittsburgh Pirates vs Chicago Cubs [09/09/2012] Tickets at StubHub!|Chicago Cubs at Pittsburgh Pirates
701957|Washington Nationals at Pittsburgh Pirates (Tuesday May 8, 2012)|Pittsburgh Pirates vs Washington Nationals [05/08/2012] Tickets at StubHub!|Washington Nationals at Pittsburgh Pirates
701958|St Louis Cardinals at Pittsburgh Pirates (Tuesday August 28, 2012)|Pittsburgh Pirates vs St Louis Cardinals [08/28/2012] Tickets at StubHub!|St. Louis Cardinals at Pittsburgh Pirates
701959|New York Mets at Pittsburgh Pirates (Tuesday May 22, 2012)|Pittsburgh Pirates vs New York Mets [05/22/2012] Tickets at StubHub!|New York Mets at Pittsburgh Pirates
701960|Arizona Diamondbacks at Pittsburgh Pirates (Wednesday August 8, 2012)|Pittsburgh Pirates vs Arizona Diamondbacks [08/08/2012] Tickets at StubHub!|Arizona Diamondbacks at Pittsburgh Pirates
701961|Cincinnati Reds at Pittsburgh Pirates (Sunday May 6, 2012)|Pittsburgh Pirates vs Cincinnati Reds [05/06/2012] Tickets at StubHub!|Cincinnati Reds at Pittsburgh Pirates
701962|Chicago Cubs at Pittsburgh Pirates (Friday May 25, 2012)|Pittsburgh Pirates vs Chicago Cubs [05/25/2012] Tickets at StubHub!|Chicago Cubs at Pittsburgh Pirates
701963|Milwaukee Brewers at Pittsburgh Pirates (Friday August 24, 2012)|Pittsburgh Pirates vs Milwaukee Brewers [08/24/2012] Tickets at StubHub!|Milwaukee Brewers at Pittsburgh Pirates
701964|Los Angeles Dodgers at Pittsburgh Pirates (Monday August 13, 2012)|Pittsburgh Pirates vs Los Angeles Dodgers [08/13/2012] Tickets at StubHub!|Los Angeles Dodgers at Pittsburgh Pirates
701965|Detroit Tigers at Pittsburgh Pirates (Sunday June 24, 2012)|Pittsburgh Pirates vs Detroit Tigers [06/24/2012] Tickets at StubHub!|Detroit Tigers at Pittsburgh Pirates
701966|Milwaukee Brewers at Pittsburgh Pirates (Thursday September 20, 2012)|Pittsburgh Pirates vs Milwaukee Brewers [09/20/2012] Tickets at StubHub!|Milwaukee Brewers at Pittsburgh Pirates
